UID	row_clusters-flat	CDS	SmallRNA	5'UTR	lncRNA	Pseudogene	3'UTR
column_clusters-flat		4	3	2	1	1	1
M349	1	-0.446959683	0.118196626	-0.186584735	0.009485115	0.116007911	0.219713255
M269	1	-0.486032072	0.208519443	-0.127351096	-0.137804948	0.088865364	0.253307557
M328	2	-0.351466963	0.126029551	-0.187533351	-0.103530552	0.077522607	0.22783221
M149	2	-0.324713929	0.027303837	-0.149373935	-0.084902201	0.035080267	0.227947293
M319	2	-0.076858257	0.519690376	-0.109413562	-0.048343287	0.048635938	0.058349277
M317	2	-0.065826806	0.506340085	-0.162750755	-0.008169203	0.027965134	0.058828114
M136	2	-0.077590687	0.524360107	-0.181881918	-0.020159759	0.031081077	0.072241292
M318	2	-0.142086607	0.50537657	-0.173234607	-0.065888167	0.066809775	0.114092942
M332	2	0.00053842	0.565929928	-0.239325109	0.14057775	0.053069237	-0.075527048
M195	2	-0.069878556	0.285100771	-0.152903753	0.031350841	0.017115032	0.069536377
M118	2	-0.033958583	0.283427932	-0.178823095	0.052316682	0.042697913	0.024387183
M159	2	-0.062461629	0.236504503	-0.128340499	0.013979977	0.088755317	0.034788136
M231	2	0.007559087	0.276672507	-0.084813156	0.036624931	0.011503455	-0.01868986
M100	2	-0.129043261	0.03724152	-0.300339564	-0.064509343	0.015589257	0.16290065
M085	2	-0.194660717	-0.004032685	-0.1889879	-0.069212471	0.087105688	0.161252416
M347	2	-0.143994999	0.243319344	0.199860987	0.081183321	0.044967869	0.002609015
M334	2	-0.107914562	0.172899917	0.211018013	0.090073148	0.056206389	-0.039195168
M345	2	-0.236943656	-0.113481834	0.082265476	0.147006404	0.122269047	0.055300021
M233	2	-0.036330748	-0.042139939	-0.115515041	-0.00150736	0.093995794	0.020688095
M023	2	-0.112372084	-0.09948018	0.028960616	-0.03768652	0.05356169	0.082797899
M113	2	-0.122615231	0.008857392	-0.102102427	-0.033193266	0.039763257	0.097407393
M089	2	-0.107486115	0.031816	-0.134187352	-0.010194919	0.045399495	0.105623172
M287	2	0.016411312	0.043792523	0.013110575	-0.014125474	-0.004510285	-0.017786325
M178	2	-0.003381012	0.072713448	-0.065686433	0.027187261	0.026289048	-0.002999297
M325	2	0.054474682	0.131789272	0.041326018	0.006917184	-0.022803591	-0.081259109
M323	2	0.051210908	-0.081526633	0.033122354	0.01809086	0.001337972	-0.081974748
M245	2	0.05971115	-0.061214256	0.090644717	-0.00926951	-0.022203938	-0.094505148
M296	2	0.027435732	-0.051621956	-0.025799883	0.068495313	-0.050787946	-0.031485535
M082	2	0.017746149	-0.150900072	-0.207473824	0.061174329	0.000356858	0.008360864
M081	2	0.039505039	-0.152142339	-0.354206323	0.136205903	-0.024439201	-0.016479445
M331	2	0.15415483	-0.107860518	-0.030668499	-0.02650889	-0.03400814	-0.218810773
M260	2	0.114275609	-0.078097814	0.214131571	-0.048353302	-0.117286063	-0.205944745
M274	2	0.170283314	-0.177989814	-0.047025446	0.108068637	-0.237578861	-0.219430541
M346	2	-0.066281436	-0.515721915	0.1356606	0.056195266	0.066866253	-0.021367124
M273	2	0.142278954	-0.455087419	0.494155044	-0.250350883	-0.259923141	-0.460381533
M237	2	0.203147051	-0.68883143	-0.045612186	0.096141666	-0.265392107	-0.28140272
M071	2	0.285072517	-0.542208163	0.197149262	-0.120663102	-0.455002567	-0.68883143
M353	2	0.459973384	-0.68883143	-0.6888314	-0.68883143	-0.68883143	-0.68883143
M352	2	0.459973384	-0.68883143	-0.68883143	-0.68883143	-0.68883143	-0.68883143
