chr	start	end	miRNA
chr1	328329	328335	mir-1family
chr1	803747	803753	mir-1family
chr1	810004	810010	mir-1family
chr1	803747	803753	mir-1family
chr1	2728984	2728990	mir-1family
chr1	3225663	3225669	mir-1family
chr1	5150831	5150837	mir-1family
chr1	5150901	5150907	mir-1family
chr1	5553060	5553066	mir-1family
chr1	6784794	6784800	mir-1family
chr1	6784794	6784800	mir-1family
chr1	8181754	8181760	mir-1family
chr1	15730280	15730286	mir-1family
chr1	16842119	16842125	mir-1family
chr1	16944215	16944221	mir-1family
chr1	25295625	25295631	mir-1family
chr1	25295682	25295688	mir-1family
chr1	28972753	28972759	mir-1family
chr1	41139005	41139011	mir-1family
chr1	48228511	48228517	mir-1family
chr1	54494080	54494086	mir-1family
chr1	59521796	59521802	mir-1family
chr1	61062041	61062047	mir-1family
chr1	69900869	69900875	mir-1family
chr1	87631623	87631629	mir-1family
chr1	91326764	91326770	mir-1family
chr1	98407200	98407206	mir-1family
chr1	108614150	108614156	mir-1family
chr1	117863759	117863765	mir-1family
chr1	142588108	142588114	mir-1family
chr1	142678776	142678782	mir-1family
chr1	142699336	142699342	mir-1family
chr1	143195797	143195803	mir-1family
chr1	143188619	143188625	mir-1family
chr1	143195797	143195803	mir-1family
chr1	143188619	143188625	mir-1family
chr1	143195797	143195803	mir-1family
chr1	143195797	143195803	mir-1family
chr1	143195797	143195803	mir-1family
chr1	143232260	143232266	mir-1family
chr1	143232260	143232266	mir-1family
chr1	143399584	143399590	mir-1family
chr1	143399022	143399028	mir-1family
chr1	143710213	143710219	mir-1family
chr1	143710213	143710219	mir-1family
chr1	143710213	143710219	mir-1family
chr1	147768841	147768847	mir-1family
chr1	147897722	147897728	mir-1family
chr1	149252030	149252036	mir-1family
chr1	149263493	149263499	mir-1family
chr1	149263539	149263545	mir-1family
chr1	156363103	156363109	mir-1family
chr1	156479937	156479943	mir-1family
chr1	159948692	159948698	mir-1family
chr1	166876397	166876403	mir-1family
chr1	168370446	168370452	mir-1family
chr1	168382120	168382126	mir-1family
chr1	168463358	168463364	mir-1family
chr1	169421924	169421930	mir-1family
chr1	170615488	170615494	mir-1family
chr1	177669896	177669902	mir-1family
chr1	178063049	178063055	mir-1family
chr1	182033499	182033505	mir-1family
chr1	185303512	185303518	mir-1family
chr1	185303512	185303518	mir-1family
chr1	187328911	187328917	mir-1family
chr1	198567098	198567104	mir-1family
chr1	198975779	198975785	mir-1family
chr1	202844100	202844106	mir-1family
chr1	204598076	204598082	mir-1family
chr1	206288205	206288211	mir-1family
chr1	212403561	212403567	mir-1family
chr1	212403561	212403567	mir-1family
chr1	213027175	213027181	mir-1family
chr1	213031128	213031134	mir-1family
chr1	213031128	213031134	mir-1family
chr1	213031128	213031134	mir-1family
chr1	213719741	213719747	mir-1family
chr1	218093628	218093634	mir-1family
chr1	222092022	222092028	mir-1family
chr1	222092022	222092028	mir-1family
chr1	227617311	227617317	mir-1family
chr1	227698638	227698644	mir-1family
chr1	229394814	229394820	mir-1family
chr1	230728553	230728559	mir-1family
chr1	232866402	232866408	mir-1family
chr1	232878357	232878363	mir-1family
chr1	234796016	234796022	mir-1family
chr1	234864975	234864981	mir-1family
chr1	244188296	244188302	mir-1family
chr1	244254914	244254920	mir-1family
chr1	246848106	246848112	mir-1family
chr1	247350959	247350965	mir-1family
chr1	1590824	1590830	mir-1family
chr1	1604144	1604150	mir-1family
chr1	3540973	3540979	mir-1family
chr1	10712152	10712158	mir-1family
chr1	11162111	11162117	mir-1family
chr1	11204830	11204836	mir-1family
chr1	11204830	11204836	mir-1family
chr1	11904052	11904058	mir-1family
chr1	11904052	11904058	mir-1family
chr1	17733825	17733831	mir-1family
chr1	21593212	21593218	mir-1family
chr1	25971738	25971744	mir-1family
chr1	26789254	26789260	mir-1family
chr1	27018760	27018766	mir-1family
chr1	28567461	28567467	mir-1family
chr1	35253600	35253606	mir-1family
chr1	39341632	39341638	mir-1family
chr1	39341632	39341638	mir-1family
chr1	39341632	39341638	mir-1family
chr1	40030856	40030862	mir-1family
chr1	43820660	43820666	mir-1family
chr1	47004372	47004378	mir-1family
chr1	47034223	47034229	mir-1family
chr1	54752042	54752048	mir-1family
chr1	58326430	58326436	mir-1family
chr1	58326430	58326436	mir-1family
chr1	58326430	58326436	mir-1family
chr1	58326430	58326436	mir-1family
chr1	58326430	58326436	mir-1family
chr1	58326430	58326436	mir-1family
chr1	58326430	58326436	mir-1family
chr1	58326430	58326436	mir-1family
chr1	64577052	64577058	mir-1family
chr1	68537518	68537524	mir-1family
chr1	68537518	68537524	mir-1family
chr1	68607233	68607239	mir-1family
chr1	68607452	68607458	mir-1family
chr1	78355198	78355204	mir-1family
chr1	85865311	85865317	mir-1family
chr1	95630656	95630662	mir-1family
chr1	99613436	99613442	mir-1family
chr1	99614205	99614211	mir-1family
chr1	100523612	100523618	mir-1family
chr1	101538315	101538321	mir-1family
chr1	101538315	101538321	mir-1family
chr1	101538315	101538321	mir-1family
chr1	101538315	101538321	mir-1family
chr1	110604915	110604921	mir-1family
chr1	110752337	110752343	mir-1family
chr1	110830431	110830437	mir-1family
chr1	112289507	112289513	mir-1family
chr1	112452271	112452277	mir-1family
chr1	145487764	145487770	mir-1family
chr1	145495071	145495077	mir-1family
chr1	149429477	149429483	mir-1family
chr1	155181212	155181218	mir-1family
chr1	155183531	155183537	mir-1family
chr1	160172157	160172163	mir-1family
chr1	160919060	160919066	mir-1family
chr1	161056930	161056936	mir-1family
chr1	164740105	164740111	mir-1family
chr1	165459759	165459765	mir-1family
chr1	167145898	167145904	mir-1family
chr1	167145898	167145904	mir-1family
chr1	167145898	167145904	mir-1family
chr1	173429888	173429894	mir-1family
chr1	180239885	180239891	mir-1family
chr1	180919412	180919418	mir-1family
chr1	203113849	203113855	mir-1family
chr1	207779868	207779874	mir-1family
chr1	207779868	207779874	mir-1family
chr1	212798777	212798783	mir-1family
chr1	214140104	214140110	mir-1family
chr1	214140104	214140110	mir-1family
chr1	221006167	221006173	mir-1family
chr1	228483667	228483673	mir-1family
chr1	229644384	229644390	mir-1family
chr1	234348768	234348774	mir-1family
chr1	238067281	238067287	mir-1family
chr1	238084609	238084615	mir-1family
chr1	238091258	238091264	mir-1family
chr1	240928882	240928888	mir-1family
chr1	242373748	242373754	mir-1family
chr1	242373799	242373805	mir-1family
chr1	245018750	245018756	mir-1family
chr1	246198555	246198561	mir-1family
chr1	7430165	7430171	mir-1family
chr1	224397997	224398003	mir-1family
chr1	242373748	242373754	mir-1family
chr1	242373799	242373805	mir-1family
chr1	2282450	2282456	mir-1family
chr1	116941649	116941655	mir-1family
chr1	145115809	145115815	mir-1family
chr1	794267	794273	mir-1family
chr1	2483693	2483699	mir-1family
chr1	59663973	59663979	mir-1family
chr1	93803118	93803124	mir-1family
chr1	173836614	173836620	mir-1family
chr1	173836614	173836620	mir-1family
chr1	183430743	183430749	mir-1family
chr1	2483693	2483699	mir-1family
chr1	93727761	93727767	mir-1family
chr1	93727852	93727858	mir-1family
chr2	2329935	2329941	mir-1family
chr2	2330281	2330287	mir-1family
chr2	2329935	2329941	mir-1family
chr2	2330281	2330287	mir-1family
chr2	2733857	2733863	mir-1family
chr2	2838251	2838257	mir-1family
chr2	6513288	6513294	mir-1family
chr2	6870832	6870838	mir-1family
chr2	6870832	6870838	mir-1family
chr2	6870832	6870838	mir-1family
chr2	7812031	7812037	mir-1family
chr2	9897902	9897908	mir-1family
chr2	10076917	10076923	mir-1family
chr2	11497958	11497964	mir-1family
chr2	16202945	16202951	mir-1family
chr2	16948346	16948352	mir-1family
chr2	16948346	16948352	mir-1family
chr2	20084132	20084138	mir-1family
chr2	20102118	20102124	mir-1family
chr2	20786213	20786219	mir-1family
chr2	25381028	25381034	mir-1family
chr2	30574228	30574234	mir-1family
chr2	34956599	34956605	mir-1family
chr2	34960252	34960258	mir-1family
chr2	42105044	42105050	mir-1family
chr2	43259908	43259914	mir-1family
chr2	47559650	47559656	mir-1family
chr2	60054324	60054330	mir-1family
chr2	61378787	61378793	mir-1family
chr2	64431847	64431853	mir-1family
chr2	64749371	64749377	mir-1family
chr2	64840118	64840124	mir-1family
chr2	64840118	64840124	mir-1family
chr2	65681108	65681114	mir-1family
chr2	65681108	65681114	mir-1family
chr2	65681108	65681114	mir-1family
chr2	67523066	67523072	mir-1family
chr2	67552079	67552085	mir-1family
chr2	69685406	69685412	mir-1family
chr2	75155466	75155472	mir-1family
chr2	75156147	75156153	mir-1family
chr2	75159991	75159997	mir-1family
chr2	87755075	87755081	mir-1family
chr2	87755075	87755081	mir-1family
chr2	87755075	87755081	mir-1family
chr2	87755075	87755081	mir-1family
chr2	87755075	87755081	mir-1family
chr2	87755075	87755081	mir-1family
chr2	87779916	87779922	mir-1family
chr2	87755075	87755081	mir-1family
chr2	87779916	87779922	mir-1family
chr2	87779977	87779983	mir-1family
chr2	87755075	87755081	mir-1family
chr2	87779916	87779922	mir-1family
chr2	87779977	87779983	mir-1family
chr2	103489922	103489928	mir-1family
chr2	105128666	105128672	mir-1family
chr2	111144105	111144111	mir-1family
chr2	111468546	111468552	mir-1family
chr2	111468984	111468990	mir-1family
chr2	111996293	111996299	mir-1family
chr2	128602748	128602754	mir-1family
chr2	138863057	138863063	mir-1family
chr2	145831937	145831943	mir-1family
chr2	145939976	145939982	mir-1family
chr2	145939976	145939982	mir-1family
chr2	145939976	145939982	mir-1family
chr2	145939976	145939982	mir-1family
chr2	145939976	145939982	mir-1family
chr2	145939976	145939982	mir-1family
chr2	145939976	145939982	mir-1family
chr2	145939976	145939982	mir-1family
chr2	145635414	145635420	mir-1family
chr2	151491170	151491176	mir-1family
chr2	151491170	151491176	mir-1family
chr2	151491170	151491176	mir-1family
chr2	151491170	151491176	mir-1family
chr2	151491170	151491176	mir-1family
chr2	156878333	156878339	mir-1family
chr2	156877335	156877341	mir-1family
chr2	156878333	156878339	mir-1family
chr2	171584177	171584183	mir-1family
chr2	181436465	181436471	mir-1family
chr2	195238930	195238936	mir-1family
chr2	195238930	195238936	mir-1family
chr2	195238930	195238936	mir-1family
chr2	205099628	205099634	mir-1family
chr2	208110210	208110216	mir-1family
chr2	208110210	208110216	mir-1family
chr2	216139804	216139810	mir-1family
chr2	216401353	216401359	mir-1family
chr2	216578235	216578241	mir-1family
chr2	216477771	216477777	mir-1family
chr2	229348138	229348144	mir-1family
chr2	238521874	238521880	mir-1family
chr2	238533480	238533486	mir-1family
chr2	239847107	239847113	mir-1family
chr2	239930350	239930356	mir-1family
chr2	241626170	241626176	mir-1family
chr2	5824640	5824646	mir-1family
chr2	5824640	5824646	mir-1family
chr2	32238325	32238331	mir-1family
chr2	32604648	32604654	mir-1family
