	Number of Hits			
	SeedM	SeedM + m8	SeedM + t1A	SeedM + (m8 And t1A)
miR-7-3	12199	2183	3405	632
mir-15family	10477	3475	1071	432
miR-203-1	10224	2889	2615	723
miR-22-1	10017	2800	1137	301
mir-103family	9929	1938	2744	570
mir-27family	9905	2109	2695	619
miR-217-1	9890	1604	1310	326
miR-24-2	9647	2995	3977	848
miR-9-3	9318	1534	2214	445
miR-124a-3	8995	1570	1156	201
miR-205-1	8812	2134	2847	704
mir-20family	8671	2623	1384	305
mir-199family	8331	2000	2397	577
mir-128family	8178	3125	2109	659
mir-204family	8106	2570	2743	961
mir-125family	7911	2768	2562	853
miR-138-2	7899	2597	2283	875
miR-122a-1	7817	1326	3247	505
miR-218-2	7673	2080	1535	466
mir-10family	7401	1778	1008	228
miR-33-1	7195	1291	2012	368
miR-183-1	7168	1348	913	126
miR-18-1	7098	1247	909	115
mir-23family	7036	2141	2255	711
mir-192family	7017	729	1351	150
mir-148family	6816	1885	1647	476
mir-135family	6813	1932	1050	308
mir-130family	6420	1398	630	139
mir-1family	6405	1515	2180	576
mir-29bfamily	6325	2038	693	232
miR-375-1	6215	194	2315	53
mir-26family	6197	1023	2124	364
mir-93family	6054	3008	773	343
miR-216-1	6023	2094	1220	493
mir-34family	6019	2381	1865	681
miR-146-1	5991	1716	1883	558
mir-200afamily	5969	2039	1006	301
miR-137-1	5962	2231	1195	348
mir-181family	5905	1904	1078	391
mir-25family	5337	1165	1025	151
miR-140-1	5250	1758	1900	676
mir-133family	5213	1586	1033	238
mir-200bfamily	4932	1429	913	261
miR-223-1	4404	1094	1498	379
miR-101-2	4338	725	1072	161
miR-144-1	4338	1141	1072	288
mir-196family	4218	750	613	111
mir-19family	4131	1264	1419	494
miR-153-2	4081	881	1069	252
miR-194-2	3771	976	1475	303
miR-219-2	3697	696	1312	222
let-7family	3604	1217	1156	395
mir-221family	3586	819	1129	286
miR-21-1	3461	891	622	165
miR-190-1	3115	866	982	294
miR-155-1	3091	1083	949	339
mir-30family	3051	1295	1183	474
miR-124u-3	3024	1156	878	324
miR-142-3p-1	2595	530	1020	206
miR-184-1	2072	534	482	137
miR-187-1	1723	601	354	134
mir-100family	1010	133	141	19
miR-126-1	506	30	96	5
