chr	start	end	miRNA
chr1	754788	754794	mir-1family
chr1	804939	804945	mir-1family
chr1	3225555	3225561	mir-1family
chr1	4009400	4009406	mir-1family
chr1	4008031	4008037	mir-1family
chr1	4472401	4472407	mir-1family
chr1	5553059	5553065	mir-1family
chr1	6784793	6784799	mir-1family
chr1	6784793	6784799	mir-1family
chr1	8181753	8181759	mir-1family
chr1	16842118	16842124	mir-1family
chr1	17521592	17521598	mir-1family
chr1	17523679	17523685	mir-1family
chr1	23610538	23610544	mir-1family
chr1	25295624	25295630	mir-1family
chr1	28974869	28974875	mir-1family
chr1	28974869	28974875	mir-1family
chr1	30182315	30182321	mir-1family
chr1	43425116	43425122	mir-1family
chr1	48532835	48532841	mir-1family
chr1	56381812	56381818	mir-1family
chr1	56616800	56616806	mir-1family
chr1	59521795	59521801	mir-1family
chr1	61062040	61062046	mir-1family
chr1	73802794	73802800	mir-1family
chr1	91303220	91303226	mir-1family
chr1	95088451	95088457	mir-1family
chr1	106144965	106144971	mir-1family
chr1	108975395	108975401	mir-1family
chr1	142699335	142699341	mir-1family
chr1	142700202	142700208	mir-1family
chr1	142951207	142951213	mir-1family
chr1	143195796	143195802	mir-1family
chr1	143196687	143196693	mir-1family
chr1	143195796	143195802	mir-1family
chr1	143195796	143195802	mir-1family
chr1	143196687	143196693	mir-1family
chr1	143195796	143195802	mir-1family
chr1	143196687	143196693	mir-1family
chr1	143195796	143195802	mir-1family
chr1	143196687	143196693	mir-1family
chr1	143399583	143399589	mir-1family
chr1	143399021	143399027	mir-1family
chr1	143527777	143527783	mir-1family
chr1	147768673	147768679	mir-1family
chr1	149263492	149263498	mir-1family
chr1	156479936	156479942	mir-1family
chr1	169421946	169421952	mir-1family
chr1	175172442	175172448	mir-1family
chr1	182032443	182032449	mir-1family
chr1	182096602	182096608	mir-1family
chr1	183590055	183590061	mir-1family
chr1	184355179	184355185	mir-1family
chr1	187328910	187328916	mir-1family
chr1	198567097	198567103	mir-1family
chr1	198975778	198975784	mir-1family
chr1	204001861	204001867	mir-1family
chr1	204598075	204598081	mir-1family
chr1	212403560	212403566	mir-1family
chr1	212403560	212403566	mir-1family
chr1	212731343	212731349	mir-1family
chr1	213031127	213031133	mir-1family
chr1	213031127	213031133	mir-1family
chr1	213031127	213031133	mir-1family
chr1	228572549	228572555	mir-1family
chr1	232314616	232314622	mir-1family
chr1	232864147	232864153	mir-1family
chr1	240693771	240693777	mir-1family
chr1	244188295	244188301	mir-1family
chr1	246847111	246847117	mir-1family
chr1	246848105	246848111	mir-1family
chr1	246848162	246848168	mir-1family
chr1	247350958	247350964	mir-1family
chr1	10712151	10712157	mir-1family
chr1	11839548	11839554	mir-1family
chr1	15655240	15655246	mir-1family
chr1	16162483	16162489	mir-1family
chr1	17733463	17733469	mir-1family
chr1	20510931	20510937	mir-1family
chr1	34339359	34339365	mir-1family
chr1	34339359	34339365	mir-1family
chr1	37920814	37920820	mir-1family
chr1	43824308	43824314	mir-1family
chr1	47034222	47034228	mir-1family
chr1	52263931	52263937	mir-1family
chr1	52263931	52263937	mir-1family
chr1	52263931	52263937	mir-1family
chr1	52819385	52819391	mir-1family
chr1	53686855	53686861	mir-1family
chr1	54752621	54752627	mir-1family
chr1	58326429	58326435	mir-1family
chr1	58326429	58326435	mir-1family
chr1	58326429	58326435	mir-1family
chr1	58326429	58326435	mir-1family
chr1	58326429	58326435	mir-1family
chr1	58326429	58326435	mir-1family
