chr	start	end	miRNA
chr1	5553059	5553066	mir-1family
chr1	6784793	6784800	mir-1family
chr1	6784793	6784800	mir-1family
chr1	8181753	8181760	mir-1family
chr1	16842118	16842125	mir-1family
chr1	25295624	25295631	mir-1family
chr1	59521795	59521802	mir-1family
chr1	61062040	61062047	mir-1family
chr1	142699335	142699342	mir-1family
chr1	143195796	143195803	mir-1family
chr1	143195796	143195803	mir-1family
chr1	143195796	143195803	mir-1family
chr1	143195796	143195803	mir-1family
chr1	143195796	143195803	mir-1family
chr1	143399583	143399590	mir-1family
chr1	143399021	143399028	mir-1family
chr1	149263492	149263499	mir-1family
chr1	156479936	156479943	mir-1family
chr1	187328910	187328917	mir-1family
chr1	198567097	198567104	mir-1family
chr1	198975778	198975785	mir-1family
chr1	204598075	204598082	mir-1family
chr1	212403560	212403567	mir-1family
chr1	212403560	212403567	mir-1family
chr1	213031127	213031134	mir-1family
chr1	213031127	213031134	mir-1family
chr1	213031127	213031134	mir-1family
chr1	244188295	244188302	mir-1family
chr1	246848105	246848112	mir-1family
chr1	247350958	247350965	mir-1family
chr1	10712151	10712158	mir-1family
chr1	47034222	47034229	mir-1family
chr1	58326429	58326436	mir-1family
chr1	58326429	58326436	mir-1family
chr1	58326429	58326436	mir-1family
chr1	58326429	58326436	mir-1family
chr1	58326429	58326436	mir-1family
chr1	58326429	58326436	mir-1family
chr1	58326429	58326436	mir-1family
chr1	58326429	58326436	mir-1family
chr1	64577051	64577058	mir-1family
chr1	68537517	68537524	mir-1family
chr1	68537517	68537524	mir-1family
chr1	68607451	68607458	mir-1family
chr1	85865310	85865317	mir-1family
chr1	160919059	160919066	mir-1family
chr1	161056929	161056936	mir-1family
chr1	214140103	214140110	mir-1family
chr1	214140103	214140110	mir-1family
chr1	221006166	221006173	mir-1family
chr1	240928881	240928888	mir-1family
chr1	242373747	242373754	mir-1family
chr1	242373798	242373805	mir-1family
chr1	7430164	7430171	mir-1family
chr1	242373747	242373754	mir-1family
chr1	242373798	242373805	mir-1family
chr1	2282449	2282456	mir-1family
chr1	116941648	116941655	mir-1family
chr1	2483692	2483699	mir-1family
chr1	183430742	183430749	mir-1family
chr1	2483692	2483699	mir-1family
chr2	6870831	6870838	mir-1family
chr2	6870831	6870838	mir-1family
chr2	6870831	6870838	mir-1family
chr2	20102117	20102124	mir-1family
chr2	34956598	34956605	mir-1family
chr2	60054323	60054330	mir-1family
chr2	64431846	64431853	mir-1family
chr2	67523065	67523072	mir-1family
chr2	87755074	87755081	mir-1family
chr2	87755074	87755081	mir-1family
chr2	87755074	87755081	mir-1family
chr2	87755074	87755081	mir-1family
chr2	87755074	87755081	mir-1family
chr2	87755074	87755081	mir-1family
chr2	87779915	87779922	mir-1family
chr2	87755074	87755081	mir-1family
chr2	87779915	87779922	mir-1family
chr2	87779976	87779983	mir-1family
chr2	87755074	87755081	mir-1family
chr2	87779915	87779922	mir-1family
chr2	87779976	87779983	mir-1family
chr2	111144104	111144111	mir-1family
chr2	111468983	111468990	mir-1family
chr2	111996292	111996299	mir-1family
chr2	138863056	138863063	mir-1family
chr2	151491169	151491176	mir-1family
chr2	151491169	151491176	mir-1family
chr2	151491169	151491176	mir-1family
chr2	151491169	151491176	mir-1family
chr2	151491169	151491176	mir-1family
chr2	195238929	195238936	mir-1family
chr2	195238929	195238936	mir-1family
chr2	195238929	195238936	mir-1family
chr2	208110209	208110216	mir-1family
chr2	208110209	208110216	mir-1family
chr2	216401352	216401359	mir-1family
chr2	5824639	5824646	mir-1family
chr2	5824639	5824646	mir-1family
chr2	38177478	38177485	mir-1family
chr2	38358748	38358755	mir-1family
chr2	38358748	38358755	mir-1family
chr2	54747483	54747490	mir-1family
chr2	56402204	56402211	mir-1family
chr2	56402204	56402211	mir-1family
chr2	63275609	63275616	mir-1family
chr2	64479677	64479684	mir-1family
chr2	74185296	74185303	mir-1family
chr2	74185296	74185303	mir-1family
chr2	74620606	74620613	mir-1family
chr2	74729267	74729274	mir-1family
chr2	75414602	75414609	mir-1family
chr2	86051864	86051871	mir-1family
chr2	98287115	98287122	mir-1family
chr2	98287115	98287122	mir-1family
chr2	98287115	98287122	mir-1family
chr2	98287115	98287122	mir-1family
chr2	98287115	98287122	mir-1family
chr2	98287115	98287122	mir-1family
chr2	144229580	144229587	mir-1family
chr2	144532770	144532777	mir-1family
chr2	167056159	167056166	mir-1family
chr2	167997413	167997420	mir-1family
chr2	192900944	192900951	mir-1family
chr2	192900944	192900951	mir-1family
chr2	192900944	192900951	mir-1family
chr2	206621280	206621287	mir-1family
chr2	206621280	206621287	mir-1family
chr2	223782131	223782138	mir-1family
chr2	89165313	89165320	mir-1family
chr2	7569645	7569652	mir-1family
chr2	7054434	7054441	mir-1family
chr2	7054434	7054441	mir-1family
chr3	44158975	44158982	mir-1family
chr3	44158984	44158991	mir-1family
chr3	44159137	44159144	mir-1family
chr3	44163314	44163321	mir-1family
chr3	137494037	137494044	mir-1family
chr3	137494037	137494044	mir-1family
chr3	137513224	137513231	mir-1family
chr3	147724403	147724410	mir-1family
chr3	155011758	155011765	mir-1family
chr3	167621200	167621207	mir-1family
chr3	167621200	167621207	mir-1family
chr3	167621200	167621207	mir-1family
chr3	167621200	167621207	mir-1family
chr3	167621200	167621207	mir-1family
chr3	194003814	194003821	mir-1family
chr3	10002226	10002233	mir-1family
chr3	14963882	14963889	mir-1family
